                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.0152,                 5.8228,                 2.7481,                 0.0187,                0.54825,                0.04898,                0.02654,                0.99053,                 4.8967,                 1.2956,             8.0802e-05,             8.0802e-05,             8.0802e-05
                      2,                 1.0672,                 4.5514,                 1.6185,                0.54262,                 0.1604,                 0.0987,                0.07734,                0.82525,                  4.262,                0.89013,             0.00014608,             0.00014608,             0.00014608
                      3,                0.95343,                 4.1181,                 1.4965,                0.47491,                0.31177,                 0.1786,                0.15771,                0.60866,                 3.9547,                0.68425,             0.00019526,             0.00019526,             0.00019526
                      4,                 0.9127,                 3.8737,                 1.4585,                0.42278,                 0.3823,                 0.2275,                0.18559,                0.74623,                 3.9733,                0.69714,             0.00017153,             0.00017153,             0.00017153
                      5,                0.95022,                 3.5941,                 1.4937,                0.41015,                0.41079,                0.31359,                0.27971,                0.51509,                 3.5878,                0.53897,             0.00017153,             0.00017153,             0.00017153
                      6,                0.86005,                 3.3176,                 1.3939,                0.58082,                0.34919,                0.38847,                0.35604,                0.42608,                 3.1708,                0.44018,             0.00014738,             0.00014738,             0.00014738
                      7,                 0.8505,                 3.1321,                 1.4137,                0.45378,                0.49169,                0.47066,                0.41972,                0.54032,                 3.0273,                0.49882,             0.00012322,             0.00012322,             0.00012322
                      8,                0.84165,                 2.9466,                 1.4024,                0.41895,                0.57158,                0.50351,                0.47655,                0.38337,                  2.951,                  0.421,             9.9064e-05,             9.9064e-05,             9.9064e-05
                      9,                0.82121,                 2.8903,                  1.391,                0.44415,                0.55184,                 0.5312,                0.49218,                0.45347,                 2.7747,                0.46733,             7.4908e-05,             7.4908e-05,             7.4908e-05
                     10,                0.74824,                 2.7438,                 1.3189,                0.50034,                0.56942,                0.59009,                0.55701,                 0.3674,                 2.6336,                0.40523,             5.0752e-05,             5.0752e-05,             5.0752e-05
